sleeper_player_id,first_name,last_name,full_name,position,nfl_team,number,status,injury_status
6895,Quintez,Cephus,Quintez Cephus,WR,HOU,16,Active,
11456,Tre'Shaun,Harrison,Tre'Shaun Harrison,WR,,82,Inactive,
11748,Bub,Means,Bub Means,WR,NO,16,Inactive,IR
10227,Payne,Durham,Payne Durham,TE,TB,87,Active,
11857,Daijun,Edwards,Daijun Edwards,RB,,,Active,
5549,Darrel,Williams,Darrel Williams,RB,,34,Active,
6074,Donald,Parham,Donald Parham,TE,PIT,89,Inactive,IR
7619,Mathew,Sexton,Mathew Sexton,WR,,87,Active,
7593,Trey,Sermon,Trey Sermon,RB,PIT,37,Active,
11607,Hayden,Hatten,Hayden Hatten,WR,,,Active,
3200,Sterling,Shepard,Sterling Shepard,WR,TB,17,Active,
7565,Terrace,Marshall,Terrace Marshall,WR,PHI,82,Active,
560,Demaryius,Thomas,Demaryius Thomas,WR,,18,Active,
6849,Denzel,Mims,Denzel Mims,WR,,83,Active,
5111,Javon,Wims,Javon Wims,WR,,13,Active,
8559,Josh,Babicz,Josh Babicz,TE,,0,Active,
12690,Tommy,Mellott,Tommy Mellott,WR,,84,Active,
11601,Trey,Knox,Trey Knox,TE,,,Active,Questionable
5199,Byron,Pringle,Byron Pringle,WR,,83,Active,
12700,Gavin,Bartholomew,Gavin Bartholomew,TE,MIN,86,Active,PUP
12859,Nate,Noel,Nate Noel,RB,,41,Active,
10220,Will,Mallory,Will Mallory,TE,IND,86,Active,Out
6823,Jacob,Eason,Jacob Eason,QB,,7,Active,
8211,Tyrion,Davis-Price,Tyrion Davis-Price,RB,,44,Active,
12224,David,White,David White,WR,,16,Active,
5845,Dwayne,Haskins,Dwayne Haskins,QB,PIT,3,Active,
10216,Kenny,McIntosh,Kenny McIntosh,RB,SEA,25,Inactive,IR
13189,Luke,Floriea,Luke Floriea,WR,CLE,81,Active,
11580,Dillon,Johnson,Dillon Johnson,RB,,,Active,
8760,Dre,Miller,Dre Miller,TE,,16,Active,
7005,Scottie,Phillips,Scottie Phillips,RB,,27,Active,
2152,Teddy,Bridgewater,Teddy Bridgewater,QB,TB,10,Active,
11762,Anthony,Gould,Anthony Gould,WR,IND,6,Active,Questionable
5113,Cedrick,Wilson,Cedrick Wilson,WR,MIA,19,Active,
12151,Julian,Hicks,Julian Hicks,WR,,81,Active,
10221,Ronnie,Bell,Ronnie Bell,WR,NO,85,Active,
5089,Mike,White,Mike White,QB,CAR,16,Active,
7855,Blake,Haubeil,Blake Haubeil,K,,0,Active,
4647,Colin,Thompson,Colin Thompson,TE,,48,Active,
13041,Jahmal,Banks,Jahmal Banks,WR,,86,Active,Sus
11126,Michael,Ezeike,Michael Ezeike,TE,,47,Active,
