sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
12497,automatic,fanduel.com,Week 10,Tory,Horton,WR,SEA,4.28,2025-11-20 18:03:39
7587,automatic,fanduel.com,Week 12,Dyami,Brown,WR,JAX,4.28,2025-11-20 18:03:39
6960,automatic,fanduel.com,Week 11,Tyler,Johnson,WR,NYJ,4.26,2025-11-20 18:03:39
11608,automatic,fanduel.com,Week 11,Isaiah,Williams,WR,NYJ,4.23,2025-11-20 18:03:39
8208,automatic,sleeper.com,Week 10,Tyler,Badie,RB,DEN,4.2,2025-11-20 18:03:39
5096,automatic,sleeper.com,Week 10,Ray-Ray,McCloud,WR,NYG,4.2,2025-11-20 18:03:39
8225,automatic,espn.com,Week 10,Daniel,Bellinger,TE,NYG,4.2,2025-11-20 18:03:39
9511,automatic,fantasypros.com,Week 10,Keaton,Mitchell,RB,BAL,4.2,2025-11-20 18:03:39
4082,automatic,fantasypros.com,Week 10,Curtis,Samuel,WR,BUF,4.2,2025-11-20 18:03:39
12503,automatic,fantasypros.com,Week 10,Isaiah,Bond,WR,CLE,4.2,2025-11-20 18:03:39
ARI,dst_team_match,fantasypros.com,Week 10,Arizona Cardinals,Defense,DST,ARI,4.2,2025-11-20 18:03:39
PHI,dst_team_match,fantasypros.com,Week 11,Philadelphia Eagles,Defense,DST,PHI,4.2,2025-11-20 18:03:39
8154,automatic,firstdown.studio,Week 11,Brian,Robinson,RB,SF,4.2,2025-11-20 18:03:39
8119,automatic,sleeper.com,Week 12,Jahan,Dotson,WR,PHI,4.2,2025-11-20 18:03:39
12487,automatic,sleeper.com,Week 12,Terrance,Ferguson,TE,LAR,4.2,2025-11-20 18:03:39
12521,automatic,sleeper.com,Week 12,Elijah,Arroyo,TE,SEA,4.2,2025-11-20 18:03:39
1426,automatic,sleeper.com,Week 12,DeAndre,Hopkins,WR,BAL,4.2,2025-11-20 18:03:39
12476,automatic,espn.com,Week 12,Devin,Neal,RB,NO,4.2,2025-11-20 18:03:39
DAL,dst_team_match,espn.com,Week 12,Cowboys D/ST,Defense,DST,DAL,4.2,2025-11-20 18:03:39
PIT,dst_team_match,espn.com,Week 12,Steelers D/ST,Defense,DST,PIT,4.2,2025-11-20 18:03:39
11261,automatic,fantasypros.com,Week 12,Andre,Szmyt,K,CLE,4.2,2025-11-20 18:03:39
TEN,dst_team_match,fantasypros.com,Week 12,Tennessee Titans,Defense,DST,TEN,4.2,2025-11-20 18:03:39
12547,automatic,fanduel.com,Week 12,Kyle,Williams,WR,NE,4.19,2025-11-20 18:03:39
11571,automatic,fanduel.com,Week 11,Isaiah,Davis,RB,NYJ,4.13,2025-11-20 18:03:39
3202,automatic,fanduel.com,Week 10,Austin,Hooper,TE,NE,4.12,2025-11-20 18:03:39
12487,automatic,fanduel.com,Week 10,Terrance,Ferguson,TE,LAR,4.1,2025-11-20 18:03:39
3271,automatic,sleeper.com,Week 10,Tyler,Higbee,TE,LAR,4.1,2025-11-20 18:03:39
9479,automatic,sleeper.com,Week 10,Darnell,Washington,TE,PIT,4.1,2025-11-20 18:03:39
10219,automatic,sleeper.com,Week 10,Chris,Rodriguez,RB,WAS,4.1,2025-11-20 18:03:39
2374,automatic,sleeper.com,Week 10,Tyler,Lockett,WR,LV,4.1,2025-11-20 18:03:39
12492,automatic,sleeper.com,Week 10,Pat,Bryant,WR,DEN,4.1,2025-11-20 18:03:39
CHI,dst_team_match,espn.com,Week 10,Bears D/ST,Defense,DST,CHI,4.1,2025-11-20 18:03:39
